ID,context_id,context_title,context_length,context,question type,question,A,B,C,D,E,answer
353,45,Agama dan Peradaban Bangsa Arab (1),1648,"Perkawinan antara Abdullah dengan Aminah yang masih satu keturunan itu telah melahirkan seorang manusia yang kelak akan menjadi Nabi dan Rasul yang terakhir. Muhammad namanya. Beliau lahir pada tahun 570 masehi di Makkah, bertepatan dengan tahun Gajah. Muhammad dilahirkan dari keluarga yang secara materiil lemah, tetapi memiliki kedudukan yang terhormat, karena berasal dari suku Quraish, suku yang punya kelas tinggi saat itu. Perjalanan hidupnya penuh dengan ujian dan cobaan dari Tuhan Yang Maha Esa. Usia 2 bulan dalam kandungan ibunya Beliau ditinggal oleh ayahnya, karena itu ketika lahir Beliau telah menjadi yatim. Pada usia 6 tahun, Beliau ditinggal ibunya, kemudian ia diasuh kakeknya, Abdul Muthalib, namun tidak lama kemudian ditinggal juga, kakeknya meninggal, dan selanjutnya pamannya yang mengurus, Abu Thalib yang tersohor dengan karismatiknya di kalangan kaum Quraish. Mulai usia 12 tahun, beliau telah menemani pamannya berdagang ke Syam. Tetapi di tengah perjalanan bertemu dengan seorang Rahib Nasrani yang bernama Bahira. Kemudian ia melarang Abu Thalib membiarkan Muhammad tanpa pengawalan, sebab ia melihat tanda kenabian dalam diri Muhammad, dan jika tanda itu diketahui oleh orang Yahudi dikawatirkan mereka akan membunuhnya. Di usia yang ke 25 tahun, Beliau menikah dengan seorang janda kaya dan cantik, Khadijah. Hal ini terjadi atas ketertarikan Khadijah terhadap Muhammad yang jujur, cakap. Baru pada usianya yang ke 40 tahun setelah mengadakan meditasi di Gua Hira, akibat dari pandangannya yang menolak tradisi bangsa Arab yang dari segi etika dan moral mengalami kehancuran. Yang kemudian Beliau mendapatkan wahyu.",when,Pada usia berapa Muhammad kehilangan ayahnya?,3 bulan,2 bulan,1 bulan,1 tahun,6 bulan,B
354,45,Agama dan Peradaban Bangsa Arab (1),1648,"Perkawinan antara Abdullah dengan Aminah yang masih satu keturunan itu telah melahirkan seorang manusia yang kelak akan menjadi Nabi dan Rasul yang terakhir. Muhammad namanya. Beliau lahir pada tahun 570 masehi di Makkah, bertepatan dengan tahun Gajah. Muhammad dilahirkan dari keluarga yang secara materiil lemah, tetapi memiliki kedudukan yang terhormat, karena berasal dari suku Quraish, suku yang punya kelas tinggi saat itu. Perjalanan hidupnya penuh dengan ujian dan cobaan dari Tuhan Yang Maha Esa. Usia 2 bulan dalam kandungan ibunya Beliau ditinggal oleh ayahnya, karena itu ketika lahir Beliau telah menjadi yatim. Pada usia 6 tahun, Beliau ditinggal ibunya, kemudian ia diasuh kakeknya, Abdul Muthalib, namun tidak lama kemudian ditinggal juga, kakeknya meninggal, dan selanjutnya pamannya yang mengurus, Abu Thalib yang tersohor dengan karismatiknya di kalangan kaum Quraish. Mulai usia 12 tahun, beliau telah menemani pamannya berdagang ke Syam. Tetapi di tengah perjalanan bertemu dengan seorang Rahib Nasrani yang bernama Bahira. Kemudian ia melarang Abu Thalib membiarkan Muhammad tanpa pengawalan, sebab ia melihat tanda kenabian dalam diri Muhammad, dan jika tanda itu diketahui oleh orang Yahudi dikawatirkan mereka akan membunuhnya. Di usia yang ke 25 tahun, Beliau menikah dengan seorang janda kaya dan cantik, Khadijah. Hal ini terjadi atas ketertarikan Khadijah terhadap Muhammad yang jujur, cakap. Baru pada usianya yang ke 40 tahun setelah mengadakan meditasi di Gua Hira, akibat dari pandangannya yang menolak tradisi bangsa Arab yang dari segi etika dan moral mengalami kehancuran. Yang kemudian Beliau mendapatkan wahyu.",who,Siapakah yang mengurus Muhammad setelah ayah dan ibunya meninggal?,Hakim bin Hizam,Abdul Muthalib,Abdul Uzza,Abu Talib,Abu Lahab,B
355,45,Agama dan Peradaban Bangsa Arab (1),1648,"Perkawinan antara Abdullah dengan Aminah yang masih satu keturunan itu telah melahirkan seorang manusia yang kelak akan menjadi Nabi dan Rasul yang terakhir. Muhammad namanya. Beliau lahir pada tahun 570 masehi di Makkah, bertepatan dengan tahun Gajah. Muhammad dilahirkan dari keluarga yang secara materiil lemah, tetapi memiliki kedudukan yang terhormat, karena berasal dari suku Quraish, suku yang punya kelas tinggi saat itu. Perjalanan hidupnya penuh dengan ujian dan cobaan dari Tuhan Yang Maha Esa. Usia 2 bulan dalam kandungan ibunya Beliau ditinggal oleh ayahnya, karena itu ketika lahir Beliau telah menjadi yatim. Pada usia 6 tahun, Beliau ditinggal ibunya, kemudian ia diasuh kakeknya, Abdul Muthalib, namun tidak lama kemudian ditinggal juga, kakeknya meninggal, dan selanjutnya pamannya yang mengurus, Abu Thalib yang tersohor dengan karismatiknya di kalangan kaum Quraish. Mulai usia 12 tahun, beliau telah menemani pamannya berdagang ke Syam. Tetapi di tengah perjalanan bertemu dengan seorang Rahib Nasrani yang bernama Bahira. Kemudian ia melarang Abu Thalib membiarkan Muhammad tanpa pengawalan, sebab ia melihat tanda kenabian dalam diri Muhammad, dan jika tanda itu diketahui oleh orang Yahudi dikawatirkan mereka akan membunuhnya. Di usia yang ke 25 tahun, Beliau menikah dengan seorang janda kaya dan cantik, Khadijah. Hal ini terjadi atas ketertarikan Khadijah terhadap Muhammad yang jujur, cakap. Baru pada usianya yang ke 40 tahun setelah mengadakan meditasi di Gua Hira, akibat dari pandangannya yang menolak tradisi bangsa Arab yang dari segi etika dan moral mengalami kehancuran. Yang kemudian Beliau mendapatkan wahyu.",when,Dalam usia berapa Muhammad menikah dengan Khadijah?,20 tahun,25 tahun,30 tahun,35 tahun,18 tahun,B
356,45,Agama dan Peradaban Bangsa Arab (1),1648,"Perkawinan antara Abdullah dengan Aminah yang masih satu keturunan itu telah melahirkan seorang manusia yang kelak akan menjadi Nabi dan Rasul yang terakhir. Muhammad namanya. Beliau lahir pada tahun 570 masehi di Makkah, bertepatan dengan tahun Gajah. Muhammad dilahirkan dari keluarga yang secara materiil lemah, tetapi memiliki kedudukan yang terhormat, karena berasal dari suku Quraish, suku yang punya kelas tinggi saat itu. Perjalanan hidupnya penuh dengan ujian dan cobaan dari Tuhan Yang Maha Esa. Usia 2 bulan dalam kandungan ibunya Beliau ditinggal oleh ayahnya, karena itu ketika lahir Beliau telah menjadi yatim. Pada usia 6 tahun, Beliau ditinggal ibunya, kemudian ia diasuh kakeknya, Abdul Muthalib, namun tidak lama kemudian ditinggal juga, kakeknya meninggal, dan selanjutnya pamannya yang mengurus, Abu Thalib yang tersohor dengan karismatiknya di kalangan kaum Quraish. Mulai usia 12 tahun, beliau telah menemani pamannya berdagang ke Syam. Tetapi di tengah perjalanan bertemu dengan seorang Rahib Nasrani yang bernama Bahira. Kemudian ia melarang Abu Thalib membiarkan Muhammad tanpa pengawalan, sebab ia melihat tanda kenabian dalam diri Muhammad, dan jika tanda itu diketahui oleh orang Yahudi dikawatirkan mereka akan membunuhnya. Di usia yang ke 25 tahun, Beliau menikah dengan seorang janda kaya dan cantik, Khadijah. Hal ini terjadi atas ketertarikan Khadijah terhadap Muhammad yang jujur, cakap. Baru pada usianya yang ke 40 tahun setelah mengadakan meditasi di Gua Hira, akibat dari pandangannya yang menolak tradisi bangsa Arab yang dari segi etika dan moral mengalami kehancuran. Yang kemudian Beliau mendapatkan wahyu.",where,Dimana tempat meditasi yang dilakukan Muhammad sebelum mendapat wahyu?,Gua Hira,Gua Thawr,Masjid Nabawi,Masjidil Haram,Masjid Al-Aqsa,A
357,45,Agama dan Peradaban Bangsa Arab (1),1648,"Perkawinan antara Abdullah dengan Aminah yang masih satu keturunan itu telah melahirkan seorang manusia yang kelak akan menjadi Nabi dan Rasul yang terakhir. Muhammad namanya. Beliau lahir pada tahun 570 masehi di Makkah, bertepatan dengan tahun Gajah. Muhammad dilahirkan dari keluarga yang secara materiil lemah, tetapi memiliki kedudukan yang terhormat, karena berasal dari suku Quraish, suku yang punya kelas tinggi saat itu. Perjalanan hidupnya penuh dengan ujian dan cobaan dari Tuhan Yang Maha Esa. Usia 2 bulan dalam kandungan ibunya Beliau ditinggal oleh ayahnya, karena itu ketika lahir Beliau telah menjadi yatim. Pada usia 6 tahun, Beliau ditinggal ibunya, kemudian ia diasuh kakeknya, Abdul Muthalib, namun tidak lama kemudian ditinggal juga, kakeknya meninggal, dan selanjutnya pamannya yang mengurus, Abu Thalib yang tersohor dengan karismatiknya di kalangan kaum Quraish. Mulai usia 12 tahun, beliau telah menemani pamannya berdagang ke Syam. Tetapi di tengah perjalanan bertemu dengan seorang Rahib Nasrani yang bernama Bahira. Kemudian ia melarang Abu Thalib membiarkan Muhammad tanpa pengawalan, sebab ia melihat tanda kenabian dalam diri Muhammad, dan jika tanda itu diketahui oleh orang Yahudi dikawatirkan mereka akan membunuhnya. Di usia yang ke 25 tahun, Beliau menikah dengan seorang janda kaya dan cantik, Khadijah. Hal ini terjadi atas ketertarikan Khadijah terhadap Muhammad yang jujur, cakap. Baru pada usianya yang ke 40 tahun setelah mengadakan meditasi di Gua Hira, akibat dari pandangannya yang menolak tradisi bangsa Arab yang dari segi etika dan moral mengalami kehancuran. Yang kemudian Beliau mendapatkan wahyu.",who,Siapakah manusia yang kelak menjadi Nabi dan Rasul yang terakhir?,Ibrahim,Muhammad,Musa,Adam,Isa,B
358,45,Agama dan Peradaban Bangsa Arab (1),1648,"Perkawinan antara Abdullah dengan Aminah yang masih satu keturunan itu telah melahirkan seorang manusia yang kelak akan menjadi Nabi dan Rasul yang terakhir. Muhammad namanya. Beliau lahir pada tahun 570 masehi di Makkah, bertepatan dengan tahun Gajah. Muhammad dilahirkan dari keluarga yang secara materiil lemah, tetapi memiliki kedudukan yang terhormat, karena berasal dari suku Quraish, suku yang punya kelas tinggi saat itu. Perjalanan hidupnya penuh dengan ujian dan cobaan dari Tuhan Yang Maha Esa. Usia 2 bulan dalam kandungan ibunya Beliau ditinggal oleh ayahnya, karena itu ketika lahir Beliau telah menjadi yatim. Pada usia 6 tahun, Beliau ditinggal ibunya, kemudian ia diasuh kakeknya, Abdul Muthalib, namun tidak lama kemudian ditinggal juga, kakeknya meninggal, dan selanjutnya pamannya yang mengurus, Abu Thalib yang tersohor dengan karismatiknya di kalangan kaum Quraish. Mulai usia 12 tahun, beliau telah menemani pamannya berdagang ke Syam. Tetapi di tengah perjalanan bertemu dengan seorang Rahib Nasrani yang bernama Bahira. Kemudian ia melarang Abu Thalib membiarkan Muhammad tanpa pengawalan, sebab ia melihat tanda kenabian dalam diri Muhammad, dan jika tanda itu diketahui oleh orang Yahudi dikawatirkan mereka akan membunuhnya. Di usia yang ke 25 tahun, Beliau menikah dengan seorang janda kaya dan cantik, Khadijah. Hal ini terjadi atas ketertarikan Khadijah terhadap Muhammad yang jujur, cakap. Baru pada usianya yang ke 40 tahun setelah mengadakan meditasi di Gua Hira, akibat dari pandangannya yang menolak tradisi bangsa Arab yang dari segi etika dan moral mengalami kehancuran. Yang kemudian Beliau mendapatkan wahyu.",what,"Dalam konteks bangsa Arab, Muhammad berasal dari suku apa?",suku Bani Tamim,suku Bani Kinanah,suku Bani Hashim,suku Quraish,suku Bani Umaya,D
359,46,Agama dan Peradaban Bangsa Arab (2),1373,"Perjalanan kenabian dan kerasulan Muhammad yang membawa risalah dan kebahagiaan seluruh umat manusia ternyata tidak selamanya mulus, terutama di awal kenabiannya di Makkah. Orang Makkah begitu benci kepada Beliau dan pengikutnya, mereka beranggapan bahwa Muhammad itu berbahaya, karena telah menghancurkan pranata kebanaran yang telah mereka bangun dan tradisikan. Kebencian orang Arab (Makkah) terhadap Nabi dan pengikutnya ditunjukkan dengan serangan-serangannya baik fisik maupun non fisik. Bangsa Arab selalu menghujamkan hinaan dan cacian kepada Nabi dan sahabatnya, bahkan kerapkali sahabatnya itu ada yang disiksa secara fisik. Serangan kaum Quraish semakin hari semakin gencar, sehingga periode Makkah ini sekalipun ada bangsa Arab yang masuk Islam, namun secara kuantitatif jumlah dan perkembangannya relatif kecil dibandingkan periode berikutnya, yaitu periode Madinah. Karena itu pula misi Nabi di Makkah dalam penyebaran ajarannya, sambutan masyarakat tidak sehangat masyarakat Madinah. Dengan demikian, Muhammad baru dapat dikatakan sebagai kepala agama dan kepala pemerintahan ketika berada di Madinah. Karena itu fungsi Muhammad sebagai kepala agama dan kepala pemerintahan baru bisa dijalani ketika Nabi berada di Madinah. Masyarakat madinah memerlukan orang yang bisa menjembatani konflik berkepanjangan antar etnis. Dan Nabi sebagai dewa penolong saat itu",what,Hal apa yang menunjukkan kebencian orang mekah terhadap Nabi Muhammad setelah datangnya Islam?,tidak ada,tidak diketahui,dukungan moral terhadap Rasulullah,kemajuan bangsa arab,serangan-serangannya baik fisik maupun non fisik,E
360,46,Agama dan Peradaban Bangsa Arab (2),1373,"Perjalanan kenabian dan kerasulan Muhammad yang membawa risalah dan kebahagiaan seluruh umat manusia ternyata tidak selamanya mulus, terutama di awal kenabiannya di Makkah. Orang Makkah begitu benci kepada Beliau dan pengikutnya, mereka beranggapan bahwa Muhammad itu berbahaya, karena telah menghancurkan pranata kebanaran yang telah mereka bangun dan tradisikan. Kebencian orang Arab (Makkah) terhadap Nabi dan pengikutnya ditunjukkan dengan serangan-serangannya baik fisik maupun non fisik. Bangsa Arab selalu menghujamkan hinaan dan cacian kepada Nabi dan sahabatnya, bahkan kerapkali sahabatnya itu ada yang disiksa secara fisik. Serangan kaum Quraish semakin hari semakin gencar, sehingga periode Makkah ini sekalipun ada bangsa Arab yang masuk Islam, namun secara kuantitatif jumlah dan perkembangannya relatif kecil dibandingkan periode berikutnya, yaitu periode Madinah. Karena itu pula misi Nabi di Makkah dalam penyebaran ajarannya, sambutan masyarakat tidak sehangat masyarakat Madinah. Dengan demikian, Muhammad baru dapat dikatakan sebagai kepala agama dan kepala pemerintahan ketika berada di Madinah. Karena itu fungsi Muhammad sebagai kepala agama dan kepala pemerintahan baru bisa dijalani ketika Nabi berada di Madinah. Masyarakat madinah memerlukan orang yang bisa menjembatani konflik berkepanjangan antar etnis. Dan Nabi sebagai dewa penolong saat itu",who,Siapa yang menghambat perkembangan Islam di Makkah?,Umayyah,Abbasid,Bani Hashim,Quraish,Thaqif,D
361,46,Agama dan Peradaban Bangsa Arab (2),1373,"Perjalanan kenabian dan kerasulan Muhammad yang membawa risalah dan kebahagiaan seluruh umat manusia ternyata tidak selamanya mulus, terutama di awal kenabiannya di Makkah. Orang Makkah begitu benci kepada Beliau dan pengikutnya, mereka beranggapan bahwa Muhammad itu berbahaya, karena telah menghancurkan pranata kebanaran yang telah mereka bangun dan tradisikan. Kebencian orang Arab (Makkah) terhadap Nabi dan pengikutnya ditunjukkan dengan serangan-serangannya baik fisik maupun non fisik. Bangsa Arab selalu menghujamkan hinaan dan cacian kepada Nabi dan sahabatnya, bahkan kerapkali sahabatnya itu ada yang disiksa secara fisik. Serangan kaum Quraish semakin hari semakin gencar, sehingga periode Makkah ini sekalipun ada bangsa Arab yang masuk Islam, namun secara kuantitatif jumlah dan perkembangannya relatif kecil dibandingkan periode berikutnya, yaitu periode Madinah. Karena itu pula misi Nabi di Makkah dalam penyebaran ajarannya, sambutan masyarakat tidak sehangat masyarakat Madinah. Dengan demikian, Muhammad baru dapat dikatakan sebagai kepala agama dan kepala pemerintahan ketika berada di Madinah. Karena itu fungsi Muhammad sebagai kepala agama dan kepala pemerintahan baru bisa dijalani ketika Nabi berada di Madinah. Masyarakat madinah memerlukan orang yang bisa menjembatani konflik berkepanjangan antar etnis. Dan Nabi sebagai dewa penolong saat itu",where,Dimana Muhammad baru dapat dikatakan sebagai kepala agama dan pemerintahan,Baghdad,Madinah,Makkah,Yerusalem,Kufah,B
362,47,Agama dan Peradaban Bangsa Arab (3),1357,"Sejarah perjalanan Nabi di atas memberikan gambaran, bahwa ajaran Islam baru muncul di usia Muhammad yang ke-40, atau tepatnya pada tahun 610 Masehi. Dalam sejarah ayat dan surat yang pertama kali turun, yaitu surat Al Alaq ayat 1-5 pada tanggal 17 Ramadhan, dan karenanya bulan ini dianggap sebagai bulan yang penuh berkah bagi umat Islam. Sejak saat itulah Muhammad mendapat gelar sebagai seorang Nabi dan rasul. Misi kerasulan pertama kali disebarkan kepada keluarga terdekat. Kemudian kepada saudara-saudaranya juga pada sahabat-sahabat terdekatnya. Secara perlahan, pengikutnya bertambah. Yang mula-mula sekali melangkahkan kakinya untuk masuk Islam adalah Abu Bakar As Shidiq sekaligus menjadi pembantu Nabi dalam menyebarkan ajaran Islam. Melalui Abu Bakar masuklah Utsman bin Affan ke dalam ajaran Islam, Talhah dan Sa'ad dll. Dari kalangan wanita yang mula-mula masuk Islam adalah Khadijah, istri beliau sendiri yang paling dicintainya. Setelah itu segera Ali masuk Islam, dari golongan anak-anak yang berumur sekitar delapan tahun, beliau adalah anak Abu Thalib. Sahabat-sahabat inilah yang membantu Rasulullah mengembangkan sayap-sayap ajaran-ajaran Islam. Hari berganti hari kaum muslimim pun bertambah besar. Dan yang masuk ajarannya cukup bervariasi, ada yang berasal dari keturunan yang lemah, ada juga yang berasal dari keturunan yang kaya. ",when,Kapan ajaran Islam pertama kali muncul?,610 SM,570 Masehi,610 Masehi,700 Masehi,630 Masehi,C
363,47,Agama dan Peradaban Bangsa Arab (3),1357,"Sejarah perjalanan Nabi di atas memberikan gambaran, bahwa ajaran Islam baru muncul di usia Muhammad yang ke-40, atau tepatnya pada tahun 610 Masehi. Dalam sejarah ayat dan surat yang pertama kali turun, yaitu surat Al Alaq ayat 1-5 pada tanggal 17 Ramadhan, dan karenanya bulan ini dianggap sebagai bulan yang penuh berkah bagi umat Islam. Sejak saat itulah Muhammad mendapat gelar sebagai seorang Nabi dan rasul. Misi kerasulan pertama kali disebarkan kepada keluarga terdekat. Kemudian kepada saudara-saudaranya juga pada sahabat-sahabat terdekatnya. Secara perlahan, pengikutnya bertambah. Yang mula-mula sekali melangkahkan kakinya untuk masuk Islam adalah Abu Bakar As Shidiq sekaligus menjadi pembantu Nabi dalam menyebarkan ajaran Islam. Melalui Abu Bakar masuklah Utsman bin Affan ke dalam ajaran Islam, Talhah dan Sa'ad dll. Dari kalangan wanita yang mula-mula masuk Islam adalah Khadijah, istri beliau sendiri yang paling dicintainya. Setelah itu segera Ali masuk Islam, dari golongan anak-anak yang berumur sekitar delapan tahun, beliau adalah anak Abu Thalib. Sahabat-sahabat inilah yang membantu Rasulullah mengembangkan sayap-sayap ajaran-ajaran Islam. Hari berganti hari kaum muslimim pun bertambah besar. Dan yang masuk ajarannya cukup bervariasi, ada yang berasal dari keturunan yang lemah, ada juga yang berasal dari keturunan yang kaya. ",what,Surat apa yang pertama kali turun?,Al Isra',Al Muddathir,Al Fatihah,Al Alaq,Al Muzzammil,D
364,47,Agama dan Peradaban Bangsa Arab (3),1357,"Sejarah perjalanan Nabi di atas memberikan gambaran, bahwa ajaran Islam baru muncul di usia Muhammad yang ke-40, atau tepatnya pada tahun 610 Masehi. Dalam sejarah ayat dan surat yang pertama kali turun, yaitu surat Al Alaq ayat 1-5 pada tanggal 17 Ramadhan, dan karenanya bulan ini dianggap sebagai bulan yang penuh berkah bagi umat Islam. Sejak saat itulah Muhammad mendapat gelar sebagai seorang Nabi dan rasul. Misi kerasulan pertama kali disebarkan kepada keluarga terdekat. Kemudian kepada saudara-saudaranya juga pada sahabat-sahabat terdekatnya. Secara perlahan, pengikutnya bertambah. Yang mula-mula sekali melangkahkan kakinya untuk masuk Islam adalah Abu Bakar As Shidiq sekaligus menjadi pembantu Nabi dalam menyebarkan ajaran Islam. Melalui Abu Bakar masuklah Utsman bin Affan ke dalam ajaran Islam, Talhah dan Sa'ad dll. Dari kalangan wanita yang mula-mula masuk Islam adalah Khadijah, istri beliau sendiri yang paling dicintainya. Setelah itu segera Ali masuk Islam, dari golongan anak-anak yang berumur sekitar delapan tahun, beliau adalah anak Abu Thalib. Sahabat-sahabat inilah yang membantu Rasulullah mengembangkan sayap-sayap ajaran-ajaran Islam. Hari berganti hari kaum muslimim pun bertambah besar. Dan yang masuk ajarannya cukup bervariasi, ada yang berasal dari keturunan yang lemah, ada juga yang berasal dari keturunan yang kaya. ",what,Ayat berapa yang pertama kali turun dari surat Al Alaq?,1-5,Ayat 4-6,Ayat 10-15,Ayat 1-4,Ayat 6-10,A
365,47,Agama dan Peradaban Bangsa Arab (3),1357,"Sejarah perjalanan Nabi di atas memberikan gambaran, bahwa ajaran Islam baru muncul di usia Muhammad yang ke-40, atau tepatnya pada tahun 610 Masehi. Dalam sejarah ayat dan surat yang pertama kali turun, yaitu surat Al Alaq ayat 1-5 pada tanggal 17 Ramadhan, dan karenanya bulan ini dianggap sebagai bulan yang penuh berkah bagi umat Islam. Sejak saat itulah Muhammad mendapat gelar sebagai seorang Nabi dan rasul. Misi kerasulan pertama kali disebarkan kepada keluarga terdekat. Kemudian kepada saudara-saudaranya juga pada sahabat-sahabat terdekatnya. Secara perlahan, pengikutnya bertambah. Yang mula-mula sekali melangkahkan kakinya untuk masuk Islam adalah Abu Bakar As Shidiq sekaligus menjadi pembantu Nabi dalam menyebarkan ajaran Islam. Melalui Abu Bakar masuklah Utsman bin Affan ke dalam ajaran Islam, Talhah dan Sa'ad dll. Dari kalangan wanita yang mula-mula masuk Islam adalah Khadijah, istri beliau sendiri yang paling dicintainya. Setelah itu segera Ali masuk Islam, dari golongan anak-anak yang berumur sekitar delapan tahun, beliau adalah anak Abu Thalib. Sahabat-sahabat inilah yang membantu Rasulullah mengembangkan sayap-sayap ajaran-ajaran Islam. Hari berganti hari kaum muslimim pun bertambah besar. Dan yang masuk ajarannya cukup bervariasi, ada yang berasal dari keturunan yang lemah, ada juga yang berasal dari keturunan yang kaya. ",when,Kapan surat Al Alaq pertama kali turun?,15 Ramadhan,21 Ramadhan,17 Ramadhan,19 Ramadhan,23 Ramadhan,C
366,47,Agama dan Peradaban Bangsa Arab (3),1357,"Sejarah perjalanan Nabi di atas memberikan gambaran, bahwa ajaran Islam baru muncul di usia Muhammad yang ke-40, atau tepatnya pada tahun 610 Masehi. Dalam sejarah ayat dan surat yang pertama kali turun, yaitu surat Al Alaq ayat 1-5 pada tanggal 17 Ramadhan, dan karenanya bulan ini dianggap sebagai bulan yang penuh berkah bagi umat Islam. Sejak saat itulah Muhammad mendapat gelar sebagai seorang Nabi dan rasul. Misi kerasulan pertama kali disebarkan kepada keluarga terdekat. Kemudian kepada saudara-saudaranya juga pada sahabat-sahabat terdekatnya. Secara perlahan, pengikutnya bertambah. Yang mula-mula sekali melangkahkan kakinya untuk masuk Islam adalah Abu Bakar As Shidiq sekaligus menjadi pembantu Nabi dalam menyebarkan ajaran Islam. Melalui Abu Bakar masuklah Utsman bin Affan ke dalam ajaran Islam, Talhah dan Sa'ad dll. Dari kalangan wanita yang mula-mula masuk Islam adalah Khadijah, istri beliau sendiri yang paling dicintainya. Setelah itu segera Ali masuk Islam, dari golongan anak-anak yang berumur sekitar delapan tahun, beliau adalah anak Abu Thalib. Sahabat-sahabat inilah yang membantu Rasulullah mengembangkan sayap-sayap ajaran-ajaran Islam. Hari berganti hari kaum muslimim pun bertambah besar. Dan yang masuk ajarannya cukup bervariasi, ada yang berasal dari keturunan yang lemah, ada juga yang berasal dari keturunan yang kaya. ",who,Siapa sahabat Rasulullah yang mula-mula sekali masuk Islam?,Ali bin Abi Thalib,Abu Bakar As Shidiq,Utsman bin Affan,Umar bin Khattab,Hamzah bin Abdul Muttalib,B
367,47,Agama dan Peradaban Bangsa Arab (3),1357,"Sejarah perjalanan Nabi di atas memberikan gambaran, bahwa ajaran Islam baru muncul di usia Muhammad yang ke-40, atau tepatnya pada tahun 610 Masehi. Dalam sejarah ayat dan surat yang pertama kali turun, yaitu surat Al Alaq ayat 1-5 pada tanggal 17 Ramadhan, dan karenanya bulan ini dianggap sebagai bulan yang penuh berkah bagi umat Islam. Sejak saat itulah Muhammad mendapat gelar sebagai seorang Nabi dan rasul. Misi kerasulan pertama kali disebarkan kepada keluarga terdekat. Kemudian kepada saudara-saudaranya juga pada sahabat-sahabat terdekatnya. Secara perlahan, pengikutnya bertambah. Yang mula-mula sekali melangkahkan kakinya untuk masuk Islam adalah Abu Bakar As Shidiq sekaligus menjadi pembantu Nabi dalam menyebarkan ajaran Islam. Melalui Abu Bakar masuklah Utsman bin Affan ke dalam ajaran Islam, Talhah dan Sa'ad dll. Dari kalangan wanita yang mula-mula masuk Islam adalah Khadijah, istri beliau sendiri yang paling dicintainya. Setelah itu segera Ali masuk Islam, dari golongan anak-anak yang berumur sekitar delapan tahun, beliau adalah anak Abu Thalib. Sahabat-sahabat inilah yang membantu Rasulullah mengembangkan sayap-sayap ajaran-ajaran Islam. Hari berganti hari kaum muslimim pun bertambah besar. Dan yang masuk ajarannya cukup bervariasi, ada yang berasal dari keturunan yang lemah, ada juga yang berasal dari keturunan yang kaya. ",who,Siapa nama istri pertama Nabi Muhammad yang pertama kali masuk Islam?,Zainab,Fatimah,Khadijah,Aisyah,Saudah,C
368,47,Agama dan Peradaban Bangsa Arab (3),1357,"Sejarah perjalanan Nabi di atas memberikan gambaran, bahwa ajaran Islam baru muncul di usia Muhammad yang ke-40, atau tepatnya pada tahun 610 Masehi. Dalam sejarah ayat dan surat yang pertama kali turun, yaitu surat Al Alaq ayat 1-5 pada tanggal 17 Ramadhan, dan karenanya bulan ini dianggap sebagai bulan yang penuh berkah bagi umat Islam. Sejak saat itulah Muhammad mendapat gelar sebagai seorang Nabi dan rasul. Misi kerasulan pertama kali disebarkan kepada keluarga terdekat. Kemudian kepada saudara-saudaranya juga pada sahabat-sahabat terdekatnya. Secara perlahan, pengikutnya bertambah. Yang mula-mula sekali melangkahkan kakinya untuk masuk Islam adalah Abu Bakar As Shidiq sekaligus menjadi pembantu Nabi dalam menyebarkan ajaran Islam. Melalui Abu Bakar masuklah Utsman bin Affan ke dalam ajaran Islam, Talhah dan Sa'ad dll. Dari kalangan wanita yang mula-mula masuk Islam adalah Khadijah, istri beliau sendiri yang paling dicintainya. Setelah itu segera Ali masuk Islam, dari golongan anak-anak yang berumur sekitar delapan tahun, beliau adalah anak Abu Thalib. Sahabat-sahabat inilah yang membantu Rasulullah mengembangkan sayap-sayap ajaran-ajaran Islam. Hari berganti hari kaum muslimim pun bertambah besar. Dan yang masuk ajarannya cukup bervariasi, ada yang berasal dari keturunan yang lemah, ada juga yang berasal dari keturunan yang kaya. ",who,Siapa yang bertindak sebagai pembantu Nabi Muhammad dalam menyebarkan ajaran Islam?,Utsman bin Affan,Hamzah bin Abdul Mutalib,Abu Bakar As Shidiq,Ali bin Abi Thalib,Umar bin Khattab,C
